id;name;path;url;createdOn;environmentsCount;environments;;;;;;;;;;;;;;;;;;;
141;web078_configuracionessorter-PHP81-13078CD;\WMS\Legacy\Ropa;https://vsrm.dev.azure.com/Coppel-Retail/8037bb73-6c0e-47ab-b38b-11377c9aecce/_apis/Release/definitions/141;2023-06-25T13:04:50.883Z;4;Develop/QA/Production/SCM Inspection;;;;;;;;;;;;;;;;;;;
144;->Status Cedis Centrales - Copy;\UtilitiesBox\ToolsBox;https://vsrm.dev.azure.com/Coppel-Retail/8037bb73-6c0e-47ab-b38b-11377c9aecce/_apis/Release/definitions/144;2023-06-26T20:25:55.26Z;3;Central 2.44/Central 2.100/TMS DMZ -10.33.130.22;;;;;;;;;;;;;;;;;;;
145;PDM-SYS-CMGROUPS-SPRINGBOOT-17035-RH8-CD;\WMS\Salida de Mercancias;https://vsrm.dev.azure.com/Coppel-Retail/8037bb73-6c0e-47ab-b38b-11377c9aecce/_apis/Release/definitions/145;2023-06-26T22:34:46.163Z;30;Desarrollo/Tester/Produccion/01-Culiacan/02-Leon/03-Hermosillo/04-Laguna/06-Monterrey/07-Guadalajara/08-Azcapotzalco/09-Puebla/10-Villa Hermosa/11-Iztapalapa /13-Mexicali/14-Izcalli/15-Ixtapaluca/16-Tecamac/17-Merida/18-Mochis/19-Veracruz/20-Tlaquepaque/22-Toluca/23-Guadalupe/81-La_Paz/82-Nogales/84-Cancun/85-Nvo_Laredo/86-Cd_Juarez/Cedis Texcoco/SCM Inspection;;;;;;;;;;;;;;;;;;;
152;DeprecadoLegacy-wms-web077diferenciasinventario-PHP81-13077-CD;\WMS\Legacy\Ropa;https://vsrm.dev.azure.com/Coppel-Retail/8037bb73-6c0e-47ab-b38b-11377c9aecce/_apis/Release/definitions/152;2023-06-27T00:16:37.96Z;4;Desarrollo/QA/Central Produccion/SCM Inspection;;;;;;;;;;;;;;;;;;;
159;legacy-erp-configuracioncatalogos-17036-RH8-CD;\WMS;https://vsrm.dev.azure.com/Coppel-Retail/8037bb73-6c0e-47ab-b38b-11377c9aecce/_apis/Release/definitions/159;2023-06-28T14:51:27.96Z;3;Desarrollo/Tester/Produccion;;;;;;;;;;;;;;;;;;;
161;Deprecado-legacy-wms-web019reporterotacionmercancia-PHP81-13019-CD;\WMS\Legacy\Ropa;https://vsrm.dev.azure.com/Coppel-Retail/8037bb73-6c0e-47ab-b38b-11377c9aecce/_apis/Release/definitions/161;2023-06-29T16:31:10.223Z;4;Desarrollo/QA/Central Produccion/SCM Inspection;;;;;;;;;;;;;;;;;;;
164;Front_sim-Angular2-10021-CD;\TMS;https://vsrm.dev.azure.com/Coppel-Retail/8037bb73-6c0e-47ab-b38b-11377c9aecce/_apis/Release/definitions/164;2023-06-30T17:04:25.017Z;4;Develop/QA/Produccion/SCM Inspection;;;;;;;;;;;;;;;;;;;
171;Services-K8s-CD;\UtilitiesBox\ToolsBox;https://vsrm.dev.azure.com/Coppel-Retail/8037bb73-6c0e-47ab-b38b-11377c9aecce/_apis/Release/definitions/171;2023-07-03T23:05:09.97Z;1;Desarrollo;;;;;;;;;;;;;;;;;;;
174;ims-Cap-Iwm-Reporteresguardo-K8s-CD;\IMS;https://vsrm.dev.azure.com/Coppel-Retail/8037bb73-6c0e-47ab-b38b-11377c9aecce/_apis/Release/definitions/174;2023-07-04T00:30:12.253Z;4;develop/QA/Producción/SCM Inspection;;;;;;;;;;;;;;;;;;;
181;->Service Cedis DB;\UtilitiesBox\ToolsBox;https://vsrm.dev.azure.com/Coppel-Retail/8037bb73-6c0e-47ab-b38b-11377c9aecce/_apis/Release/definitions/181;2023-07-04T22:50:24.227Z;2;DB Analisis123.189/server nifi;;;;;;;;;;;;;;;;;;;
